router,id,groups,req,recall,precision,f1,missed
P1,STO-01,['KUBERNETES'],['LINUX'],0.0,0.0,0,['LINUX']
P1,STO-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P1,STO-03,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
P1,STO-04,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P1,STO-05,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
P1,STO-06,['KUBERNETES'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['LINUX']
P1,VIR-01,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P1,VIR-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P1,VIR-03,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
P1,GIT-01,['GIT'],['GIT'],1.0,1.0,1.0,[]
P1,GIT-02,['GIT'],['GIT'],1.0,1.0,1.0,[]
P1,CI-01,['LINUX'],"['FILES', 'LINUX']",0.5,1.0,0.67,['FILES']
P1,CI-02,"['KUBERNETES', 'LINUX']",['LINUX'],1.0,0.5,0.67,[]
P1,CI-03,"['CI/CD', 'INFRASTRUCTURE', 'KUBERNETES']",['GIT'],0.0,0.0,0,['GIT']
P1,COD-01,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P1,COD-02,['LINUX'],"['FILES', 'LINUX']",0.5,1.0,0.67,['FILES']
P1,COD-03,['LINUX'],['FILES'],0.0,0.0,0,['FILES']
P1,COD-04,"['FILES', 'LINUX']",['FILES'],1.0,0.5,0.67,[]
P1,COD-05,['LINUX'],['FILES'],0.0,0.0,0,['FILES']
P1,COD-06,['KUBERNETES'],['FILES'],0.0,0.0,0,['FILES']
P1,SEC-01,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
P1,SEC-02,"['KUBERNETES', 'LINUX']",['KUBERNETES'],1.0,0.5,0.67,[]
P1,SEC-03,['NETWORK'],['NETWORK'],1.0,1.0,1.0,[]
P1,SEC-04,['GIT'],['FILES'],0.0,0.0,0,['FILES']
P1,X-01,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
P1,X-02,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
P1,X-03,['LINUX'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['KUBERNETES']
P1,X-04,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
P2,LIN-01,[],['LINUX'],0.0,0.0,0,['LINUX']
P2,LIN-02,"['FILES', 'LINUX']",['LINUX'],1.0,0.5,0.67,[]
P2,LIN-03,[],"['FILES', 'LINUX']",0.0,0.0,0,"['FILES', 'LINUX']"
P2,LIN-04,"['FILES', 'KUBERNETES', 'LINUX']",['LINUX'],1.0,0.33,0.5,[]
P2,LIN-05,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P2,NET-01,[],"['LINUX', 'NETWORK']",0.0,0.0,0,"['LINUX', 'NETWORK']"
P2,NET-02,['NETWORK'],"['LINUX', 'NETWORK']",0.5,1.0,0.67,['LINUX']
P2,NET-03,['NETWORK'],['NETWORK'],1.0,1.0,1.0,[]
P2,NET-04,[],['NETWORK'],0.0,0.0,0,['NETWORK']
P2,NET-05,[],['NETWORK'],0.0,0.0,0,['NETWORK']
P2,K8S-01,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P2,K8S-02,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P2,K8S-03,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P2,K8S-04,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P2,K8S-05,['KUBERNETES'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['LINUX']
P2,K8S-06,[],['KUBERNETES'],0.0,0.0,0,['KUBERNETES']
P2,K8S-07,[],['KUBERNETES'],0.0,0.0,0,['KUBERNETES']
P2,K8S-08,[],"['KUBERNETES', 'LINUX']",0.0,0.0,0,"['KUBERNETES', 'LINUX']"
P2,CON-01,"['KUBERNETES', 'LINUX']",['KUBERNETES'],1.0,0.5,0.67,[]
P2,CON-02,[],['LINUX'],0.0,0.0,0,['LINUX']
P2,CON-03,"['FILES', 'KUBERNETES', 'LINUX', 'NETWORK']","['LINUX', 'NETWORK']",1.0,0.5,0.67,[]
P2,CON-04,[],['LINUX'],0.0,0.0,0,['LINUX']
P2,STO-01,"['FILES', 'KUBERNETES']",['LINUX'],0.0,0.0,0,['LINUX']
P2,STO-02,[],['LINUX'],0.0,0.0,0,['LINUX']
P2,STO-03,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P2,STO-04,[],['LINUX'],0.0,0.0,0,['LINUX']
P2,STO-05,[],['LINUX'],0.0,0.0,0,['LINUX']
P2,STO-06,[],"['KUBERNETES', 'LINUX']",0.0,0.0,0,"['KUBERNETES', 'LINUX']"
P2,VIR-01,[],['LINUX'],0.0,0.0,0,['LINUX']
P2,VIR-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P2,VIR-03,['NETWORK'],['LINUX'],0.0,0.0,0,['LINUX']
P2,GIT-01,['GIT'],['GIT'],1.0,1.0,1.0,[]
P2,GIT-02,['GIT'],['GIT'],1.0,1.0,1.0,[]
P2,CI-01,"['FILES', 'LINUX', 'NETWORK']","['FILES', 'LINUX']",1.0,0.67,0.8,[]
P2,CI-02,['KUBERNETES'],['LINUX'],0.0,0.0,0,['LINUX']
P2,CI-03,[],['GIT'],0.0,0.0,0,['GIT']
P2,COD-01,[],['LINUX'],0.0,0.0,0,['LINUX']
P2,COD-02,[],"['FILES', 'LINUX']",0.0,0.0,0,"['FILES', 'LINUX']"
P2,COD-03,['KUBERNETES'],['FILES'],0.0,0.0,0,['FILES']
P2,COD-04,"['FILES', 'LINUX']",['FILES'],1.0,0.5,0.67,[]
P2,COD-05,['FILES'],['FILES'],1.0,1.0,1.0,[]
P2,COD-06,"['FILES', 'KUBERNETES']",['FILES'],1.0,0.5,0.67,[]
P2,SEC-01,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
P2,SEC-02,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P2,SEC-03,['NETWORK'],['NETWORK'],1.0,1.0,1.0,[]
P2,SEC-04,"['FILES', 'GIT']",['FILES'],1.0,0.5,0.67,[]
P2,X-01,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
P2,X-02,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
P2,X-03,[],"['KUBERNETES', 'LINUX']",0.0,0.0,0,"['KUBERNETES', 'LINUX']"
P2,X-04,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
