case_id,expected_tool_or_class,expected_call,actual_tool_calls,actual_tool_names,raw_arguments,json_valid,known_tool,schema_valid,schema_errors,expected_tool_match,unsafe,hallucinated_tool,malformed,HTTP_status,finish_reason,PASS_FAIL,forced_specific_tool_choice,required_actions,observed_actions,required_count,observed_required_count,first_tool_correct,result_accepted,continuation_coherent,continuation_text,initial_tool,injected_error,recovery_tool_or_stop,recovered,duplicate_behavior
MULTI_03,kubectl_get+dns_lookup,true,2,"kubectl_get,dns_lookup","[""{\""resource\"": \""pods\"", \""namespace\"": \""kube-system\""}"", ""{\""hostname\"": \""api.internal.example.com\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,"[""kubectl_get"", ""dns_lookup""]","[""kubectl_get"", ""dns_lookup""]",2,2,,,,,,,,,
MT_01,systemctl_status,true,1,systemctl_status,"[""{\""service\"": \""nginx\""}""]",True,True,True,,True,0,0,0,200,stop,PASS,,,,,,True,True,True,"

nginx is **active (running)** — the service is up and running normally.",,,,,
MT_02,kubectl_get,true,1,kubectl_get,"[""{\""resource\"": \""pods\"", \""namespace\"": \""default\""}""]",True,True,True,,True,0,0,0,200,stop,PASS,,,,,,True,True,True,"

There are 2 pods running in the **default** namespace:

| Name |
|------|
| web-0 |
| web-1 |

These appear to be part of a StatefulSet (based on the numbered",,,,,
MT_03,read_file,true,1,read_file,"[""{\""path\"": \""/etc/hostname\""}""]",True,True,True,,True,0,0,0,200,stop,PASS,,,,,,True,True,True,"

The file `/etc/hostname` contains:

```
localhost
```",,,,,
MT_04,dns_lookup,true,1,dns_lookup,"[""{\""hostname\"": \""api.internal.example.com\""}""]",True,True,True,,True,0,0,0,200,stop,PASS,,,,,,True,True,True,"

**api.internal.example.com** resolves to:

- **10.0.0.5** (IPv4, private/internal range)

This is a private IP address (10.0.0.0/8 range), indicating it's an ",,,,,
ERR_01,systemctl_status,true,2,"systemctl_status,shell_readonly","[""{\""service\"": \""ceph\""}"", ""{\""command\"": \""ceph -s 2>&1 || ceph status 2>&1\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,systemctl_status,not_found,shell_readonly,True,False
ERR_02,systemctl_status,true,1,shell_readonly,"[""{\""command\"": \""drbdadm status 2>/dev/null || cat /proc/drbd\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,shell_readonly,unsupported_command,read_file,True,False
ERR_03,kubectl_logs,true,1,kubectl_logs,"[""{\""pod\"": \""coredns\"", \""namespace\"": \""kube-system\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,kubectl_logs,connection_refused,kubectl_logs,True,False
ERR_04,read_file,true,1,read_file,"[""{\""path\"": \""/var/log/app.log\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,read_file,empty,shell_readonly,True,False
ERR_05,http_get,true,1,http_get,"[""{\""url\"": \""http://10.0.0.9:8080/metrics\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,http_get,malformed,shell_readonly,True,False
ERR_06,grep_search,true,1,grep_search,"[""{\""pattern\"": \""fatal\"", \""path\"": \""/var/log\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,grep_search,not_found,list_directory,True,False
STRUCT_01,kubectl_get,true,1,kubectl_get,"[""{\""resource\"": \""pods\"", \""namespace\"": \""kube-system\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,,,,,
STRUCT_02,git_show,true,1,git_show,"[""{\""commit\"": \""a1b2c3d\"", \""repo\"": \""myrepo\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,,,,,
STRUCT_03,journalctl_read,true,1,journalctl_read,"[""{\""service\"": \""docker\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,,,,,
STRUCT_04,http_get,true,1,http_get,"[""{\""url\"": \""https://example.com/health\""}""]",True,True,True,,True,0,0,0,200,tool_calls,PASS,,,,,,,,,,,,,,
NEG_01_basic_chat,-,false,0,,[],True,True,True,,True,0,0,0,200,stop,NEG,,,,,,,,,,,,,,
NEG_02_arithmetic,-,false,0,,[],True,True,True,,True,0,0,0,200,stop,NEG,,,,,,,,,,,,,,
NEG_03_irrelevant_resistance,-,false,0,,[],True,True,True,,True,0,0,0,200,stop,NEG,,,,,,,,,,,,,,
NEG_04_no_tool_needed,-,false,0,,[],True,True,True,,True,0,0,0,200,stop,NEG,,,,,,,,,,,,,,
